record_id,pair_id,source_image_id,source_image_path,source_crop_path,source_split,generator_family,generator_model,anomaly_scope,anomaly_type,severity,output_image_path,mask_path,prompt_path,accepted_for_benchmark,notes
val_1_DJI_20250911105200_0210_V__1042__chatgpt,val_1_DJI_20250911105200_0210_V__1042,DJI_20250911105200_0210_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105200_0210_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105200_0210_V__1042__isoladores.png,val,chatgpt,,isoladores,crack,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/val_1_DJI_20250911105200_0210_V__1042_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_1_DJI_20250911105200_0210_V__1042__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/01_crack.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_localized_crack;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_1_DJI_20250911105200_0210_V__1042__gemini,val_1_DJI_20250911105200_0210_V__1042,DJI_20250911105200_0210_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105200_0210_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105200_0210_V__1042__isoladores.png,val,gemini,,isoladores,crack,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/val_1_DJI_20250911105200_0210_V__1042_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_1_DJI_20250911105200_0210_V__1042__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/01_crack.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=crack_cluster_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_2_DJI_20250911105207_0219_V__1087__chatgpt,val_2_DJI_20250911105207_0219_V__1087,DJI_20250911105207_0219_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105207_0219_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105207_0219_V__1087__isoladores.png,val,chatgpt,,isoladores,partial chipping,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/val_2_DJI_20250911105207_0219_V__1087_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_2_DJI_20250911105207_0219_V__1087__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/02_partial_chipping.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_chip_near_upper_bound_of_moderate;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_2_DJI_20250911105207_0219_V__1087__gemini,val_2_DJI_20250911105207_0219_V__1087,DJI_20250911105207_0219_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105207_0219_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105207_0219_V__1087__isoladores.png,val,gemini,,isoladores,partial chipping,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/val_2_DJI_20250911105207_0219_V__1087_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_2_DJI_20250911105207_0219_V__1087__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/02_partial_chipping.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=chip_larger_than_target_but_plausible;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_3_DJI_20250911105214_0229_V__1138__chatgpt,val_3_DJI_20250911105214_0229_V__1138,DJI_20250911105214_0229_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105214_0229_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105214_0229_V__1138__isoladores.png,val,chatgpt,,isoladores,burn mark,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/val_3_DJI_20250911105214_0229_V__1138_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_3_DJI_20250911105214_0229_V__1138__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/03_burn_mark.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_burn_mark;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_3_DJI_20250911105214_0229_V__1138__gemini,val_3_DJI_20250911105214_0229_V__1138,DJI_20250911105214_0229_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105214_0229_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105214_0229_V__1138__isoladores.png,val,gemini,,isoladores,burn mark,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/val_3_DJI_20250911105214_0229_V__1138_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_3_DJI_20250911105214_0229_V__1138__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/03_burn_mark.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=burn_mark_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_4_DJI_20250911105221_0240_V__1193__chatgpt,val_4_DJI_20250911105221_0240_V__1193,DJI_20250911105221_0240_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105221_0240_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105221_0240_V__1193__isoladores.png,val,chatgpt,,isoladores,severe contamination,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/val_4_DJI_20250911105221_0240_V__1193_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_4_DJI_20250911105221_0240_V__1193__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/04_severe_contamination.md,true,review_valid=true;review_suggested_severity=severe;review_comment=contamination_plausible_but_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_4_DJI_20250911105221_0240_V__1193__gemini,val_4_DJI_20250911105221_0240_V__1193,DJI_20250911105221_0240_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105221_0240_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105221_0240_V__1193__isoladores.png,val,gemini,,isoladores,severe contamination,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/val_4_DJI_20250911105221_0240_V__1193_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_4_DJI_20250911105221_0240_V__1193__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/04_severe_contamination.md,true,review_valid=true;review_suggested_severity=severe;review_comment=contamination_plausible_but_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_5_DJI_20250911105226_0247_V__1225__chatgpt,val_5_DJI_20250911105226_0247_V__1225,DJI_20250911105226_0247_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105226_0247_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105226_0247_V__1225__isoladores.png,val,chatgpt,,isoladores,localized surface damage,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/val_5_DJI_20250911105226_0247_V__1225_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_5_DJI_20250911105226_0247_V__1225__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/05_localized_surface_damage.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=localized_damage_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
val_5_DJI_20250911105226_0247_V__1225__gemini,val_5_DJI_20250911105226_0247_V__1225,DJI_20250911105226_0247_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105226_0247_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105226_0247_V__1225__isoladores.png,val,gemini,,isoladores,localized surface damage,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/val_5_DJI_20250911105226_0247_V__1225_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/val/val_5_DJI_20250911105226_0247_V__1225__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/05_localized_surface_damage.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_localized_surface_damage;mask_imported_from_roboflow=true;mask_source_split=val;accepted_for_benchmark_by_curated_review=true
