source_crop_id,source_split,source_image_id,source_image_path,annotation_id,label,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,crop_width,crop_height,padding,source_crop_path
DJI_20250911105232_0255_V__1267,test,DJI_20250911105232_0255_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105232_0255_V.jpg,1267,isoladores,2938.7,854.94,36.14,197.0,7119.58,165,326,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105232_0255_V__1267__isoladores.png
DJI_20250911105232_0255_V__1268,test,DJI_20250911105232_0255_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105232_0255_V.jpg,1268,isoladores,2438.0,1163.1,37.0,205.9,7618.3,165,334,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105232_0255_V__1268__isoladores.png
DJI_20250911105233_0256_V__1270,test,DJI_20250911105233_0256_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0256_V.jpg,1270,isoladores,2709.4,1017.42,34.0,203.0,6902.0,163,332,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0256_V__1270__isoladores.png
DJI_20250911105233_0256_V__1271,test,DJI_20250911105233_0256_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0256_V.jpg,1271,isoladores,2943.0,850.0,36.0,200.8,7228.8,164,329,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0256_V__1271__isoladores.png
DJI_20250911105233_0256_V__1274,test,DJI_20250911105233_0256_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0256_V.jpg,1274,isoladores,2435.0,1161.0,40.0,205.7,8228.0,168,334,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0256_V__1274__isoladores.png
DJI_20250911105233_0257_V__1277,test,DJI_20250911105233_0257_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0257_V.jpg,1277,isoladores,2709.01,1009.7,35.0,209.27,7324.45,164,338,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0257_V__1277__isoladores.png
DJI_20250911105233_0257_V__1278,test,DJI_20250911105233_0257_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0257_V.jpg,1278,isoladores,2434.0,1155.3,41.0,211.33,8664.53,169,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0257_V__1278__isoladores.png
DJI_20250911105233_0257_V__1279,test,DJI_20250911105233_0257_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0257_V.jpg,1279,isoladores,2945.9,845.0,38.1,207.0,7886.7,167,335,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0257_V__1279__isoladores.png
DJI_20250911105234_0258_V__1281,test,DJI_20250911105234_0258_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105234_0258_V.jpg,1281,isoladores,2431.63,1147.15,37.0,214.95,7953.15,166,344,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105234_0258_V__1281__isoladores.png
DJI_20250911105234_0258_V__1283,test,DJI_20250911105234_0258_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105234_0258_V.jpg,1283,isoladores,2950.0,855.54,37.0,199.96,7398.52,165,329,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105234_0258_V__1283__isoladores.png
DJI_20250911105234_0258_V__1284,test,DJI_20250911105234_0258_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105234_0258_V.jpg,1284,isoladores,2707.52,1013.45,37.0,209.0,7733.0,166,338,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105234_0258_V__1284__isoladores.png
DJI_20250911105235_0259_V__1285,test,DJI_20250911105235_0259_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105235_0259_V.jpg,1285,isoladores,2951.2,858.4,36.8,195.5,7194.4,165,324,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105235_0259_V__1285__isoladores.png
DJI_20250911105235_0259_V__1286,test,DJI_20250911105235_0259_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105235_0259_V.jpg,1286,isoladores,2427.8,1152.6,37.9,206.53,7827.49,167,336,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105235_0259_V__1286__isoladores.png
DJI_20250911105235_0259_V__1289,test,DJI_20250911105235_0259_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105235_0259_V.jpg,1289,isoladores,2711.0,1015.0,32.0,205.5,6576.0,160,334,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105235_0259_V__1289__isoladores.png
DJI_20250911105235_0260_V__1292,test,DJI_20250911105235_0260_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105235_0260_V.jpg,1292,isoladores,2710.6,1011.0,32.4,211.8,6862.32,161,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105235_0260_V__1292__isoladores.png
DJI_20250911105235_0260_V__1293,test,DJI_20250911105235_0260_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105235_0260_V.jpg,1293,isoladores,2955.99,855.6,37.51,201.04,7541.01,167,330,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105235_0260_V__1293__isoladores.png
DJI_20250911105235_0260_V__1294,test,DJI_20250911105235_0260_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105235_0260_V.jpg,1294,isoladores,2424.6,1144.48,35.4,211.1,7472.94,164,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105235_0260_V__1294__isoladores.png
DJI_20250911105236_0261_V__1296,test,DJI_20250911105236_0261_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105236_0261_V.jpg,1296,isoladores,2419.7,1144.0,38.3,212.0,8119.6,167,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105236_0261_V__1296__isoladores.png
DJI_20250911105236_0261_V__1297,test,DJI_20250911105236_0261_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105236_0261_V.jpg,1297,isoladores,2957.7,859.6,39.0,199.1,7764.9,168,328,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105236_0261_V__1297__isoladores.png
DJI_20250911105236_0261_V__1299,test,DJI_20250911105236_0261_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105236_0261_V.jpg,1299,isoladores,2710.1,1018.0,30.9,201.8,6235.62,159,330,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105236_0261_V__1299__isoladores.png
DJI_20250911105237_0262_V__1300,test,DJI_20250911105237_0262_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105237_0262_V.jpg,1300,isoladores,2417.3,1149.0,38.7,208.2,8057.34,167,337,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105237_0262_V__1300__isoladores.png
DJI_20250911105237_0262_V__1301,test,DJI_20250911105237_0262_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105237_0262_V.jpg,1301,isoladores,2710.0,1023.0,34.0,197.0,6698.0,162,325,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105237_0262_V__1301__isoladores.png
DJI_20250911105237_0262_V__1302,test,DJI_20250911105237_0262_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105237_0262_V.jpg,1302,isoladores,2961.1,868.0,41.9,195.0,8170.5,170,323,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105237_0262_V__1302__isoladores.png
DJI_20250911105238_0263_V__1307,test,DJI_20250911105238_0263_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0263_V.jpg,1307,isoladores,2964.7,867.0,38.3,198.5,7602.55,167,327,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0263_V__1307__isoladores.png
DJI_20250911105238_0263_V__1308,test,DJI_20250911105238_0263_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0263_V.jpg,1308,isoladores,2710.0,1023.0,37.0,201.0,7437.0,165,329,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0263_V__1308__isoladores.png
DJI_20250911105238_0263_V__1309,test,DJI_20250911105238_0263_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0263_V.jpg,1309,isoladores,2414.0,1148.0,42.0,209.6,8803.2,170,338,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0263_V__1309__isoladores.png
DJI_20250911105238_0264_V__1311,test,DJI_20250911105238_0264_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0264_V.jpg,1311,isoladores,2411.76,1142.6,37.34,210.8,7871.27,167,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0264_V__1311__isoladores.png
DJI_20250911105238_0264_V__1314,test,DJI_20250911105238_0264_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0264_V.jpg,1314,isoladores,2711.0,1020.0,35.0,198.8,6958.0,163,327,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0264_V__1314__isoladores.png
DJI_20250911105238_0264_V__1315,test,DJI_20250911105238_0264_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0264_V.jpg,1315,isoladores,2967.0,862.0,41.0,204.4,8380.4,169,333,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0264_V__1315__isoladores.png
DJI_20250911105239_0265_V__1317,test,DJI_20250911105239_0265_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105239_0265_V.jpg,1317,isoladores,2974.0,861.0,35.0,206.0,7210.0,163,334,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105239_0265_V__1317__isoladores.png
DJI_20250911105239_0265_V__1318,test,DJI_20250911105239_0265_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105239_0265_V.jpg,1318,isoladores,2709.0,1019.0,36.0,205.0,7380.0,164,333,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105239_0265_V__1318__isoladores.png
DJI_20250911105239_0265_V__1320,test,DJI_20250911105239_0265_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105239_0265_V.jpg,1320,isoladores,2408.0,1144.0,36.0,203.0,7308.0,164,331,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105239_0265_V__1320__isoladores.png
DJI_20250911105240_0266_V__1321,test,DJI_20250911105240_0266_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105240_0266_V.jpg,1321,isoladores,2407.0,1141.0,38.0,206.2,7835.6,166,335,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105240_0266_V__1321__isoladores.png
DJI_20250911105240_0266_V__1322,test,DJI_20250911105240_0266_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105240_0266_V.jpg,1322,isoladores,2708.0,1018.0,37.0,206.0,7622.0,165,334,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105240_0266_V__1322__isoladores.png
DJI_20250911105240_0266_V__1325,test,DJI_20250911105240_0266_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105240_0266_V.jpg,1325,isoladores,2974.5,866.0,38.5,202.4,7792.4,167,331,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105240_0266_V__1325__isoladores.png
DJI_20250911105240_0267_V__1327,test,DJI_20250911105240_0267_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105240_0267_V.jpg,1327,isoladores,2978.4,873.0,37.6,197.6,7429.76,166,326,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105240_0267_V__1327__isoladores.png
DJI_20250911105240_0267_V__1328,test,DJI_20250911105240_0267_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105240_0267_V.jpg,1328,isoladores,2711.0,1017.0,38.0,206.0,7828.0,166,334,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105240_0267_V__1328__isoladores.png
DJI_20250911105240_0267_V__1329,test,DJI_20250911105240_0267_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105240_0267_V.jpg,1329,isoladores,2403.28,1128.48,40.0,219.0,8760.0,169,348,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105240_0267_V__1329__isoladores.png
DJI_20250911105241_0268_V__1332,test,DJI_20250911105241_0268_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105241_0268_V.jpg,1332,isoladores,2711.0,1013.0,39.0,212.0,8268.0,167,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105241_0268_V__1332__isoladores.png
DJI_20250911105241_0268_V__1333,test,DJI_20250911105241_0268_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105241_0268_V.jpg,1333,isoladores,2401.21,1132.29,38.0,208.1,7907.8,167,337,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105241_0268_V__1333__isoladores.png
DJI_20250911105241_0268_V__1334,test,DJI_20250911105241_0268_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105241_0268_V.jpg,1334,isoladores,2982.3,872.0,38.4,201.7,7745.28,167,330,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105241_0268_V__1334__isoladores.png
DJI_20250911105242_0269_V__1336,test,DJI_20250911105242_0269_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105242_0269_V.jpg,1336,isoladores,2982.1,876.1,40.3,197.2,7947.16,169,326,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105242_0269_V__1336__isoladores.png
DJI_20250911105242_0269_V__1337,test,DJI_20250911105242_0269_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105242_0269_V.jpg,1337,isoladores,2396.0,1131.0,40.0,209.0,8360.0,168,337,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105242_0269_V__1337__isoladores.png
DJI_20250911105242_0269_V__1338,test,DJI_20250911105242_0269_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105242_0269_V.jpg,1338,isoladores,2710.0,1015.0,39.0,207.0,8073.0,167,335,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105242_0269_V__1338__isoladores.png
DJI_20250911105242_0270_V__1342,test,DJI_20250911105242_0270_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105242_0270_V.jpg,1342,isoladores,2711.0,1018.0,36.0,198.0,7128.0,164,326,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105242_0270_V__1342__isoladores.png
DJI_20250911105242_0270_V__1343,test,DJI_20250911105242_0270_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105242_0270_V.jpg,1343,isoladores,2986.7,877.5,37.6,194.8,7324.48,167,324,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105242_0270_V__1343__isoladores.png
DJI_20250911105242_0270_V__1344,test,DJI_20250911105242_0270_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105242_0270_V.jpg,1344,isoladores,2394.0,1129.0,39.0,207.7,8100.3,167,336,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105242_0270_V__1344__isoladores.png
DJI_20250911105243_0271_V__1346,test,DJI_20250911105243_0271_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105243_0271_V.jpg,1346,isoladores,2712.0,1016.0,37.0,201.0,7437.0,165,329,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105243_0271_V__1346__isoladores.png
DJI_20250911105243_0271_V__1347,test,DJI_20250911105243_0271_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105243_0271_V.jpg,1347,isoladores,2391.0,1127.0,40.0,204.8,8192.0,168,333,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105243_0271_V__1347__isoladores.png
DJI_20250911105243_0271_V__1348,test,DJI_20250911105243_0271_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105243_0271_V.jpg,1348,isoladores,2991.0,872.0,36.0,202.0,7272.0,164,330,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105243_0271_V__1348__isoladores.png
DJI_20250911105244_0272_V__1352,test,DJI_20250911105244_0272_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105244_0272_V.jpg,1352,isoladores,2994.0,874.0,37.0,201.0,7437.0,165,329,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105244_0272_V__1352__isoladores.png
DJI_20250911105244_0272_V__1353,test,DJI_20250911105244_0272_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105244_0272_V.jpg,1353,isoladores,2713.0,1021.0,37.0,199.0,7363.0,165,327,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105244_0272_V__1353__isoladores.png
DJI_20250911105244_0272_V__1354,test,DJI_20250911105244_0272_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105244_0272_V.jpg,1354,isoladores,2390.0,1122.0,40.0,207.4,8296.0,168,336,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105244_0272_V__1354__isoladores.png
DJI_20250911105245_0273_V__1356,test,DJI_20250911105245_0273_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105245_0273_V.jpg,1356,isoladores,2392.0,1115.5,38.0,210.9,8014.2,166,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105245_0273_V__1356__isoladores.png
DJI_20250911105245_0273_V__1357,test,DJI_20250911105245_0273_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105245_0273_V.jpg,1357,isoladores,2715.0,1013.1,37.0,204.0,7548.0,165,333,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105245_0273_V__1357__isoladores.png
DJI_20250911105245_0273_V__1360,test,DJI_20250911105245_0273_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105245_0273_V.jpg,1360,isoladores,3002.0,880.8,41.0,200.4,8216.4,169,330,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105245_0273_V__1360__isoladores.png
DJI_20250911105245_0274_V__1361,test,DJI_20250911105245_0274_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105245_0274_V.jpg,1361,isoladores,2711.3,1015.3,37.7,199.7,7528.69,166,328,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105245_0274_V__1361__isoladores.png
DJI_20250911105245_0274_V__1362,test,DJI_20250911105245_0274_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105245_0274_V.jpg,1362,isoladores,3000.0,881.0,39.0,199.0,7761.0,167,327,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105245_0274_V__1362__isoladores.png
DJI_20250911105245_0274_V__1365,test,DJI_20250911105245_0274_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105245_0274_V.jpg,1365,isoladores,2387.0,1110.8,37.0,212.1,7847.7,165,341,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105245_0274_V__1365__isoladores.png
DJI_20250911105246_0275_V__1366,test,DJI_20250911105246_0275_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105246_0275_V.jpg,1366,isoladores,3002.0,880.0,43.0,204.1,8776.3,171,333,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105246_0275_V__1366__isoladores.png
DJI_20250911105246_0275_V__1368,test,DJI_20250911105246_0275_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105246_0275_V.jpg,1368,isoladores,2715.0,1016.1,35.0,203.9,7136.5,163,332,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105246_0275_V__1368__isoladores.png
DJI_20250911105246_0275_V__1370,test,DJI_20250911105246_0275_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105246_0275_V.jpg,1370,isoladores,2385.0,1113.0,39.0,210.0,8190.0,167,338,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105246_0275_V__1370__isoladores.png
